time_s,car,x,y,area
14.469,cyan,226,319,916.0
14.563,orange,545,239,1198.5
14.563,cyan,226,319,905.5
14.672,orange,599,205,1224.0
14.672,cyan,226,320,862.5
14.75,orange,659,199,1240.5
14.75,cyan,222,310,699.5
14.844,orange,726,199,1314.5
14.844,cyan,222,310,612.0
14.938,orange,799,200,1342.5
14.938,cyan,223,313,733.5
15.063,orange,871,197,1322.0
15.063,cyan,225,319,850.0
15.172,orange,943,184,1331.0
15.172,cyan,225,319,969.0
15.266,orange,1015,171,1342.0
15.266,cyan,226,322,839.0
15.36,orange,1090,161,1383.0
15.36,cyan,220,305,517.0
15.485,orange,1163,176,1546.0
15.485,cyan,224,316,774.0
15.578,orange,1218,220,1868.0
15.578,cyan,226,320,921.0
15.672,orange,1245,277,2233.5
15.672,cyan,225,318,912.0
15.781,orange,1245,351,2149.0
15.781,cyan,225,319,889.5
15.875,orange,1214,410,1894.0
15.875,cyan,225,318,881.0
15.969,orange,1164,449,1176.0
15.969,cyan,225,318,870.0
16.063,orange,1102,469,1214.5
16.063,cyan,225,318,826.0
16.172,orange,1048,468,699.5
16.172,cyan,225,319,851.0
16.25,orange,972,472,1019.0
16.25,cyan,225,319,933.0
16.375,orange,896,468,1121.5
16.375,cyan,224,314,798.0
16.469,orange,810,469,1209.5
16.469,cyan,225,318,858.5
16.578,orange,725,468,1264.5
16.578,cyan,225,318,895.5
16.672,orange,635,468,1270.0
16.672,cyan,225,319,865.5
16.766,orange,545,466,1267.0
16.766,cyan,221,308,584.0
16.86,orange,453,464,1276.0
16.86,cyan,226,320,912.0
16.985,orange,361,461,1282.5
16.985,cyan,225,318,872.0
17.063,orange,270,458,1309.0
17.063,cyan,225,319,907.0
17.172,orange,179,456,1327.0
17.172,cyan,225,318,843.0
17.266,orange,98,433,1339.5
17.266,cyan,224,316,817.5
17.375,orange,44,383,1607.5
17.375,cyan,225,318,801.5
17.485,orange,21,320,1849.0
17.485,cyan,225,318,877.0
17.578,orange,27,255,1661.5
17.578,cyan,222,310,661.0
17.672,orange,57,200,1426.5
17.672,cyan,222,310,705.5
17.781,orange,103,160,1663.0
17.781,cyan,225,319,886.5
17.875,orange,164,148,1338.0
17.875,cyan,225,319,925.0
17.969,orange,224,159,1455.5
17.969,cyan,225,317,813.5
18.094,orange,277,196,1575.5
18.094,cyan,225,318,932.0
18.172,orange,319,246,1503.5
18.172,cyan,221,308,603.0
18.25,orange,374,279,1348.5
18.25,cyan,225,318,889.0
18.344,orange,432,278,1264.5
18.344,cyan,225,319,878.0
18.469,orange,478,249,1191.0
18.469,cyan,226,320,983.5
18.563,orange,515,206,1196.5
18.563,cyan,221,306,539.0
18.672,orange,562,172,1236.0
18.672,cyan,225,318,857.0
18.766,orange,615,156,1302.0
18.766,cyan,226,320,936.5
18.875,orange,677,154,1312.5
18.875,cyan,226,320,933.0
18.985,orange,745,154,1340.0
18.985,cyan,225,319,904.0
19.078,orange,817,155,1328.0
19.078,cyan,225,319,945.0
19.172,orange,887,163,1417.0
19.172,cyan,226,319,900.0
19.266,orange,957,178,1409.5
19.266,cyan,225,319,888.5
19.36,orange,1027,193,1401.5
19.36,cyan,225,319,897.0
19.453,orange,1097,204,1380.5
19.453,cyan,226,320,855.0
19.578,orange,1162,231,1442.0
19.578,cyan,225,318,898.0
19.672,orange,1198,283,1571.5
19.672,cyan,225,319,888.5
19.766,orange,1196,346,1563.5
19.766,cyan,226,320,865.0
19.875,orange,1166,397,1398.5
19.875,cyan,225,319,930.5
19.985,orange,1115,423,1302.5
19.985,cyan,225,319,877.0
20.078,orange,1057,428,1266.0
20.078,cyan,226,321,946.5
20.172,orange,994,426,1227.0
20.172,cyan,225,319,917.5
20.266,orange,923,426,1344.0
20.266,cyan,226,321,899.5
20.36,orange,845,425,1299.5
20.36,cyan,225,318,911.0
20.469,orange,763,424,1283.5
20.469,cyan,226,319,927.0
20.578,orange,677,424,1296.0
20.578,cyan,222,310,671.5
20.672,orange,587,423,1229.5
20.672,cyan,225,320,876.5
20.766,orange,497,421,1231.5
20.766,cyan,225,319,895.0
20.875,orange,405,418,1314.0
20.875,cyan,225,318,851.0
20.969,orange,316,416,1314.5
20.969,cyan,225,318,820.5
21.063,orange,226,413,1396.0
21.063,cyan,225,318,918.5
21.172,orange,140,404,1330.5
21.172,cyan,222,308,580.5
21.266,orange,83,362,1343.5
21.266,cyan,226,320,967.0
21.36,orange,63,305,1349.0
21.36,cyan,226,319,876.5
21.469,orange,77,249,1342.5
21.469,cyan,226,320,859.0
21.563,orange,117,207,1346.0
21.563,cyan,226,321,915.0
21.672,orange,171,192,1356.5
21.672,cyan,226,319,874.5
21.766,orange,224,209,1412.0
21.766,cyan,225,319,941.0
21.875,orange,263,249,1448.0
21.875,cyan,226,319,894.5
21.985,orange,306,294,1422.0
21.985,cyan,225,318,893.0
22.078,orange,363,322,1369.0
22.078,cyan,221,308,626.5
22.188,orange,423,324,1132.0
22.188,cyan,225,318,875.5
22.281,orange,481,304,1169.5
22.281,cyan,225,316,720.0
22.391,orange,525,263,1195.5
22.391,cyan,225,318,887.0
22.485,orange,570,219,1201.0
22.485,cyan,224,317,826.5
22.578,orange,626,200,1234.0
22.578,cyan,225,318,921.0
22.672,orange,690,199,1290.0
22.672,cyan,225,318,874.5
22.766,orange,761,199,1288.5
22.766,cyan,225,318,911.0
22.86,orange,835,201,1341.0
22.86,cyan,221,307,564.0
22.953,orange,909,202,1383.5
22.953,cyan,222,311,729.5
23.063,orange,985,203,1383.0
23.063,cyan,225,319,892.0
23.156,orange,1062,203,1360.5
23.156,cyan,225,319,930.0
23.266,orange,1135,215,1384.0
23.266,cyan,222,309,703.0
23.36,orange,1187,259,1547.5
23.36,cyan,221,307,634.5
23.485,orange,1201,321,1603.0
23.485,cyan,225,319,931.0
23.578,orange,1181,379,1428.0
23.578,cyan,225,319,937.5
23.688,orange,1137,416,1316.0
23.688,cyan,225,319,908.5
23.781,orange,1081,427,1287.5
23.781,cyan,225,318,901.5
23.875,orange,1019,427,1267.0
23.875,cyan,223,310,674.0
23.969,orange,951,426,1342.5
23.969,cyan,225,319,942.5
24.063,orange,877,425,1323.0
24.063,cyan,221,307,632.0
24.172,orange,797,424,1305.5
24.172,cyan,225,319,928.0
24.281,orange,712,424,1271.0
24.281,cyan,225,319,853.0
24.36,orange,624,424,1258.0
24.36,cyan,225,319,967.0
24.469,orange,534,422,1227.0
24.469,cyan,225,318,903.0
24.578,orange,443,419,1268.5
24.578,cyan,225,318,909.5
24.672,orange,353,417,1310.0
24.672,cyan,225,318,903.0
24.766,orange,264,414,1342.5
24.766,cyan,225,318,877.5
24.86,orange,174,411,1359.0
24.86,cyan,221,308,598.5
24.969,orange,102,383,1316.0
24.969,cyan,226,320,864.0
25.063,orange,67,330,1350.5
25.063,cyan,221,307,601.0
25.172,orange,69,271,1358.5
25.172,cyan,225,318,944.5
25.266,orange,98,222,1386.5
25.266,cyan,226,319,967.5
25.375,orange,146,195,1338.0
25.375,cyan,226,320,930.5
25.469,orange,200,198,1312.0
25.469,cyan,225,318,884.5
25.563,orange,247,229,1475.5
25.563,cyan,226,319,918.0
25.688,orange,284,274,1493.5
25.688,cyan,226,320,898.5
25.797,orange,335,311,1344.5
25.797,cyan,226,319,923.5
25.891,orange,396,327,1306.5
25.891,cyan,226,320,943.0
25.985,orange,455,316,1187.0
25.985,cyan,226,319,876.5
26.078,orange,506,285,1203.0
26.078,cyan,225,319,920.5
26.203,orange,546,238,1181.5
26.203,cyan,226,319,921.5
26.297,orange,599,205,1215.0
26.297,cyan,226,320,884.5
26.375,orange,660,199,1265.0
26.375,cyan,225,317,915.5
26.485,orange,727,199,1309.5
